ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET
20232,1,4,11,38,0,9463,22781
32528,1,4,11,38,0,173144,78649
50968,1,4,11,38,0,218775,224629
55678,1,4,11,38,0,167637,215527
7051,1,4,11,39,1,227242,238460
31298,1,4,11,39,0,167749,153367
42069,1,4,11,39,0,163707,11519
16420,1,4,11,41,2,161406,11989
52606,1,4,11,41,0,22781,22953
19007,1,4,11,42,1,157908,240942
37576,1,4,11,42,0,155212,163723
51996,1,4,11,42,0,241172,9798
6331,1,4,11,43,1,1873,215527
45416,1,4,11,43,0,158318,150072
56228,1,4,11,43,0,5636,5568
5841,1,4,11,44,1,2327,208963
24259,1,4,11,44,0,151472,9536
49818,1,4,11,44,0,136916,228589
51451,1,4,11,44,0,238381,147089
10758,1,4,11,45,1,22781,11699
33477,1,4,11,45,0,216749,2686
8724,1,4,11,46,1,159139,227977
53426,1,4,11,46,0,233739,1529
51779,1,4,11,47,1,198762,168643
19789,1,4,11,48,1,173144,162323
14572,1,4,11,49,1,238896,5520
15034,1,4,11,49,0,151337,97260
48460,1,4,11,49,0,1873,151964
17660,1,4,11,50,1,163091,151374
19233,1,4,11,50,0,146782,6291
39930,1,4,11,50,0,3066,167986
52888,1,4,11,50,0,238381,166706
56910,1,4,11,50,0,140296,140299
472,1,4,11,51,1,8576,7973
25880,1,4,11,52,1,149731,810
39201,1,4,11,52,0,166701,222410
3826,1,4,11,53,1,6938,150056
40985,1,4,11,53,0,163707,40083
46755,1,4,11,54,1,857,158765
23233,1,4,11,55,1,238381,137863
26199,1,4,11,56,1,216746,6938
48816,1,4,11,56,0,215527,6410
49160,1,4,11,56,0,8470,222410
4909,1,4,11,57,1,218775,164534
14159,1,4,11,57,0,175840,238381
5580,1,4,11,58,1,22781,3068
34617,1,4,11,58,0,688,139754
34880,1,4,11,58,0,134795,2340
39606,1,4,11,58,0,226394,177500
42834,1,4,11,58,0,163707,153268
14252,1,4,11,59,1,153459,6309
32342,1,4,11,59,0,215527,219709
17271,1,4,12,0,1,222410,5756
22373,1,4,12,1,1,152755,110502
54120,1,4,12,2,1,218775,9432
5843,1,4,12,3,1,157920,216749
14991,1,4,12,3,0,2148,174125
44017,1,4,12,3,0,8327,157905
54893,1,4,12,3,0,218775,32941
13263,1,4,12,5,2,5464,5726
34553,1,4,12,5,0,151337,217395
53427,1,4,12,5,0,9983,5754
15174,1,4,12,6,1,196566,167837
51842,1,4,12,7,1,189,201615
55679,1,4,12,7,0,2341,166740
56229,1,4,12,7,0,8226,193797
52607,1,4,12,8,1,213036,209719
7155,1,4,12,9,1,38,9029
9042,1,4,12,9,0,167633,166740
32711,1,4,12,9,0,163704,5643
45065,1,4,12,9,0,162328,827
36229,1,4,12,10,1,147289,110502
42276,1,4,12,10,0,215527,134853
50610,1,4,12,11,1,163707,11708
10759,1,4,12,12,1,22781,170505
15866,1,4,12,12,0,137274,23413
26580,1,4,12,12,0,151337,9805
37577,1,4,12,12,0,2137,5739
7777,1,4,12,14,2,173144,240307
27080,1,4,12,14,0,233786,233183
8051,1,4,12,15,1,104039,23363
14160,1,4,12,15,0,146806,218775
8894,1,4,12,16,1,238381,2703
8664,1,4,12,17,1,175754,216753
3201,1,4,12,18,1,1588,810
17925,1,4,12,18,0,6513,9064
14573,1,4,12,19,1,170466,110502
21213,1,4,12,19,0,1527,11699
35063,1,4,12,19,0,10919,175841
49304,1,4,12,19,0,166872,1527
50080,1,4,12,19,0,226056,8101
45727,1,4,12,20,1,1873,164674
19790,1,4,12,22,2,220236,238059
25306,1,4,12,22,0,215527,153164
33307,1,4,12,22,0,178082,10825
43736,1,4,12,23,1,147665,153146
90,1,4,12,25,2,13435,110502
3724,1,4,12,25,0,101702,200848
608,1,4,12,26,1,9109,218775
8165,1,4,12,26,0,137248,136901
2038,1,4,12,27,1,215527,168137
26152,1,4,12,27,0,164554,199361
32440,1,4,12,27,0,159379,8219
5095,1,4,12,29,2,5612,201509
56911,1,4,12,29,0,212005,88397
28385,1,4,12,30,1,22537,164845
38286,1,4,12,30,0,32853,224905
49019,1,4,12,30,0,215527,159139
51102,1,4,12,30,0,6209,222165
22953,1,4,12,31,1,215527,222405
6239,1,4,12,32,1,213082,174083
32143,1,4,12,32,0,215527,136749
1142,1,4,12,33,1,216749,11495
2475,1,4,12,33,0,215527,13041
7341,1,4,12,33,0,213082,158318
29601,1,4,12,33,0,3069,110502
39824,1,4,12,33,0,2337,43392
6642,1,4,12,34,1,12974,2337
46435,1,4,12,34,0,261,215527
33479,1,4,12,35,1,166468,88398
11338,1,4,12,37,2,178489,201509
1740,1,4,12,38,1,9064,9063
